screen_time_hours,bmi_percentile,fitted_values,residuals
5.0,66.5318241,65.87057355994253,0.6612505400574662
0.0,98.17431868,61.68367361634929,36.49064506365071
0.0,33.07553097,61.68367361634929,-28.608142646349286
4.5,45.68833421,65.4518835655832,-19.7635493555832
2.5,62.39033084,63.77712358814591,-1.3867927481459148
2.0,13.9696424,63.358433593786586,-49.38879119378659
1.0,80.35879541,62.521053605067934,17.837741804932065
3.0,80.08049978,64.19581358250524,15.884686197494759
1.0,35.25725233,62.521053605067934,-27.263801275067934
1.0,80.35879541,62.521053605067934,17.837741804932065
10.0,76.77275392,70.05747350353577,6.715280416464225
2.5,41.90226796,63.77712358814591,-21.87485562814591
3.0,49.68153626,64.19581358250524,-14.514277322505237
7.0,50.94662272,67.54533353737983,-16.598710817379832
4.0,69.5988229,65.03319357122388,4.565629328776126
2.5,98.54569735,63.77712358814591,34.768573761854086
1.0,99.62699856,62.521053605067934,37.10594495493207
5.0,95.67686938,65.87057355994253,29.80629582005747
4.0,66.97871065,65.03319357122388,1.9455170787761205
2.0,77.24197648,63.358433593786586,13.88354288621342
7.0,96.7831408,67.54533353737983,29.237807262620166
0.5,42.1484795,62.102363610708615,-19.953884110708614
4.0,94.07864967,65.03319357122388,29.04545609877613
6.0,92.75239448,66.70795354866118,26.044440931338826
5.0,94.79064882,65.87057355994253,28.920075260057473
4.5,41.70582009,65.4518835655832,-23.7460634755832
4.5,96.62103194,65.4518835655832,31.169148374416793
3.0,86.84669781,64.19581358250524,22.650884227494757
2.5,71.27637135,63.77712358814591,7.499247761854093
8.0,78.9594291,68.38271352609847,10.576715573901524
3.5,75.69056427,64.61450357686456,11.076060693135432
2.0,68.88518339,63.358433593786586,5.526749796213409
2.5,19.66638439,63.77712358814591,-44.11073919814591
0.5,58.90305846,62.102363610708615,-3.199305150708618
5.0,87.30348222,65.87057355994253,21.43290866005748
5.5,19.34593133,66.28926355430185,-46.943332224301855
4.0,97.16947681,65.03319357122388,32.13628323877613
0.0,13.9696424,61.68367361634929,-47.71403121634929
5.0,94.79404677,65.87057355994253,28.923473210057466
9.0,16.53387163,69.22009351481712,-52.68622188481712
2.5,59.97282837,63.77712358814591,-3.80429521814591
0.5,29.31796292,62.102363610708615,-32.784400690708615
1.0,52.96298965,62.521053605067934,-9.558063955067936
1.0,57.45496513,62.521053605067934,-5.066088475067936
4.0,62.39033084,65.03319357122388,-2.642862731223879
1.5,15.1779208,62.93974359942726,-47.76182279942726
3.5,1.812713435,64.61450357686456,-62.801790141864565
3.0,57.45496513,64.19581358250524,-6.74084845250524
0.5,95.05281444,62.102363610708615,32.95045082929139
2.5,43.19281437,63.77712358814591,-20.58430921814591
2.0,64.73433168,63.358433593786586,1.375898086213411
5.5,83.03210906,66.28926355430185,16.742845505698142
3.0,85.76711283,64.19581358250524,21.571299247494764
5.5,93.5206906,66.28926355430185,27.23142704569814
1.0,65.88575167,62.521053605067934,3.364698064932071
1.0,87.29843376,62.521053605067934,24.77738015493206
4.5,93.98925052,65.4518835655832,28.537366954416797
4.0,83.72971442,65.03319357122388,18.696520848776117
3.5,60.66321529,64.61450357686456,-3.9512882868645676
1.0,50.10948386,62.521053605067934,-12.411569745067936
4.0,96.62999717,65.03319357122388,31.59680359877612
2.5,98.44322633,63.77712358814591,34.66610274185409
0.5,51.77995186,62.102363610708615,-10.322411750708618
4.0,38.53470375,65.03319357122388,-26.498489821223878
7.0,97.32417296,67.54533353737983,29.778839422620166
6.0,41.70582009,66.70795354866118,-25.002133458661177
8.0,47.52350758,68.38271352609847,-20.85920594609847
5.0,20.46953227,65.87057355994253,-45.401041289942526
10.0,75.4379744,70.05747350353577,5.380500896464227
2.5,32.74319281,63.77712358814591,-31.033930778145915
1.0,92.86925353,62.521053605067934,30.34819992493206
1.0,81.62895753,62.521053605067934,19.10790392493206
4.0,45.33714908,65.03319357122388,-19.696044491223873
5.0,83.06926617,65.87057355994253,17.198692610057478
2.0,91.60778436,63.358433593786586,28.24935076621341
2.0,45.33714908,63.358433593786586,-18.021284513786583
2.0,36.51881463,63.358433593786586,-26.839618963786585
1.5,55.18146429,62.93974359942726,-7.758279309427259
1.0,61.92023551,62.521053605067934,-0.600818095067936
0.0,65.84221705,61.68367361634929,4.158543433650713
6.0,35.20622619,66.70795354866118,-31.501727358661178
7.0,97.18899955,67.54533353737983,29.643666012620173
5.5,82.05508744,66.28926355430185,15.76582388569814
10.0,90.62341985,70.05747350353577,20.56594634646423
3.0,66.08178759,64.19581358250524,1.8859740074947666
8.0,82.19258456,68.38271352609847,13.80987103390153
4.0,54.40385458,65.03319357122388,-10.629338991223875
1.0,94.7249625,62.521053605067934,32.20390889493207
5.0,52.25342381,65.87057355994253,-13.617149749942527
6.0,72.21362837,66.70795354866118,5.505674821338815
3.5,77.04936127,64.61450357686456,12.434857693135442
6.0,26.67157309,66.70795354866118,-40.036380458661185
1.0,96.59822418,62.521053605067934,34.07717057493207
4.0,87.00265796,65.03319357122388,21.969464388776117
1.0,71.77163239,62.521053605067934,9.25057878493206
3.0,80.9826523,64.19581358250524,16.78683871749476
8.0,98.45821402,68.38271352609847,30.07550049390153
5.5,53.62901996,66.28926355430185,-12.660243594301853
6.0,51.32765319,66.70795354866118,-15.38030035866118
1.0,82.7114493,62.521053605067934,20.190395694932064
5.0,96.62805126,65.87057355994253,30.75747770005748
1.0,78.10688836,62.521053605067934,15.585834754932065
5.0,50.27447135,65.87057355994253,-15.59610220994253
4.5,97.8304981,65.4518835655832,32.3786145344168
7.0,67.35690955,67.54533353737983,-0.188423987379835
4.0,99.47646663,65.03319357122388,34.44327305877613
2.5,54.75617318,63.77712358814591,-9.020950408145914
7.0,89.90649736,67.54533353737983,22.36116382262017
6.0,30.89048164,66.70795354866118,-35.817471908661176
10.0,34.10784442,70.05747350353577,-35.949629083535775
8.0,98.13332826,68.38271352609847,29.75061473390153
10.0,93.60689746,70.05747350353577,23.549423956464224
9.0,27.81918727,69.22009351481712,-41.40090624481712
4.5,73.91347781,65.4518835655832,8.461594244416801
4.0,58.167767,65.03319357122388,-6.865426571223878
4.0,44.70874303,65.03319357122388,-20.324450541223875
8.0,81.5523064,68.38271352609847,13.169592873901536
4.5,98.17687957,65.4518835655832,32.724996004416795
1.5,81.82099807,62.93974359942726,18.881254470572742
5.0,31.315611,65.87057355994253,-34.554962559942524
3.0,42.35560365,64.19581358250524,-21.84020993250524
4.5,59.47446449,65.4518835655832,-5.9774190755831995
3.0,52.82514857,64.19581358250524,-11.370665012505235
